trial,phase,is_a,approach,correct,reward,p_approach,arousal
1,1,1,1,1,0.0,1.000000,0.0000
2,1,0,1,0,-1.0,1.000000,0.3000
3,1,0,0,1,0.0,0.000000,0.2825
4,1,1,1,1,1.0,1.000000,0.5161
5,1,0,1,0,0.0,1.000000,0.4860
6,1,0,1,0,-1.0,1.000000,0.7577
7,1,1,1,1,0.0,1.000000,0.7136
8,1,0,0,1,0.0,0.000000,0.6720
9,1,1,1,1,0.0,1.000000,0.6329
10,1,0,0,1,0.0,0.000000,0.5960
11,1,0,0,1,0.0,0.000000,0.5613
12,1,0,0,1,0.0,0.000000,0.5286
13,1,1,1,1,1.0,1.000000,0.7478
14,1,1,1,1,1.0,1.000000,0.9542
15,1,1,1,1,1.0,1.000000,1.0000
16,1,1,1,1,1.0,1.000000,1.0000
17,1,1,1,1,0.0,1.000000,0.9418
18,1,1,1,1,0.0,1.000000,0.8869
19,1,0,1,0,-1.0,1.000000,1.0000
20,1,1,1,1,1.0,1.000000,1.0000
21,1,0,0,1,0.0,0.000000,0.9418
22,1,1,1,1,1.0,1.000000,1.0000
23,1,0,1,0,-1.0,1.000000,1.0000
24,1,0,0,1,0.0,0.000000,0.9418
25,1,0,0,1,0.0,0.000000,0.8869
26,1,0,0,1,0.0,0.000000,0.8352
27,1,0,0,1,0.0,0.000000,0.7866
28,1,0,0,1,0.0,0.000000,0.7408
29,1,0,0,1,0.0,0.000000,0.6976
30,1,1,1,1,1.0,1.000000,0.9070
31,1,1,1,1,1.0,1.000000,1.0000
32,1,1,1,1,1.0,1.000000,1.0000
33,1,0,1,0,-1.0,1.000000,1.0000
34,1,0,0,1,0.0,0.000000,0.9418
35,1,0,0,1,0.0,0.000000,0.8869
36,1,1,1,1,1.0,1.000000,1.0000
37,1,1,1,1,1.0,1.000000,1.0000
38,1,0,1,0,-1.0,1.000000,1.0000
39,1,1,1,1,0.0,1.000000,0.9418
40,1,0,0,1,0.0,0.000000,0.8869
41,1,0,0,1,0.0,0.000000,0.8352
42,1,1,1,1,1.0,1.000000,1.0000
43,1,0,0,1,0.0,0.000000,0.9418
44,1,1,1,1,1.0,1.000000,1.0000
45,1,0,0,1,0.0,0.000000,0.9418
46,1,0,0,1,0.0,0.000000,0.8869
47,1,0,0,1,0.0,0.000000,0.8352
48,1,0,0,1,0.0,0.000000,0.7866
49,1,1,1,1,1.0,1.000000,0.9908
50,1,1,1,1,1.0,1.000000,1.0000
51,1,1,1,1,0.0,1.000000,0.9418
52,1,1,1,1,1.0,1.000000,1.0000
53,1,0,1,0,0.0,1.000000,0.9418
54,1,1,1,1,0.0,1.000000,0.8869
55,1,1,1,1,1.0,1.000000,1.0000
56,1,1,1,1,1.0,1.000000,1.0000
57,1,0,1,0,-1.0,1.000000,1.0000
58,1,1,1,1,1.0,1.000000,1.0000
59,1,0,1,0,-1.0,1.000000,1.0000
60,1,1,1,1,0.0,1.000000,0.9418
61,1,1,1,1,1.0,1.000000,1.0000
62,1,0,0,1,0.0,0.000000,0.9418
63,1,1,1,1,1.0,1.000000,1.0000
64,1,0,0,1,0.0,0.000000,0.9418
65,1,0,1,0,-1.0,1.000000,1.0000
66,1,1,1,1,1.0,1.000000,1.0000
67,1,1,1,1,1.0,1.000000,1.0000
68,1,1,1,1,1.0,1.000000,1.0000
69,1,1,1,1,1.0,1.000000,1.0000
70,1,1,1,1,1.0,1.000000,1.0000
71,1,0,0,1,0.0,0.000000,0.9418
72,1,0,1,0,-1.0,1.000000,1.0000
73,1,0,0,1,0.0,0.000000,0.9418
74,1,0,0,1,0.0,0.000000,0.8869
75,1,1,1,1,0.0,1.000000,0.8352
76,1,0,0,1,0.0,0.000000,0.7866
77,1,1,1,1,1.0,1.000000,0.9908
78,1,1,1,1,1.0,1.000000,1.0000
79,1,0,0,1,0.0,0.000000,0.9418
80,1,0,0,1,0.0,0.000000,0.8869
81,1,1,1,1,0.0,1.000000,0.8352
82,1,1,1,1,1.0,1.000000,1.0000
83,1,1,1,1,1.0,1.000000,1.0000
84,1,1,1,1,1.0,1.000000,1.0000
85,1,1,1,1,1.0,1.000000,1.0000
86,1,0,0,1,0.0,0.000000,0.9418
87,1,0,0,1,0.0,0.000000,0.8869
88,1,0,1,0,-1.0,1.000000,1.0000
89,1,1,1,1,1.0,1.000000,1.0000
90,1,1,1,1,0.0,1.000000,0.9418
91,1,1,1,1,1.0,1.000000,1.0000
92,1,0,0,1,0.0,0.000000,0.9418
93,1,1,1,1,1.0,1.000000,1.0000
94,1,1,1,1,1.0,1.000000,1.0000
95,1,0,0,1,0.0,0.000000,0.9418
96,1,0,0,1,0.0,0.000000,0.8869
97,1,1,1,1,1.0,1.000000,1.0000
98,1,1,1,1,1.0,1.000000,1.0000
99,1,1,1,1,1.0,1.000000,1.0000
100,1,0,0,1,0.0,0.000000,0.9418
1,2,0,0,0,0.0,0.000000,0.1978
2,2,1,1,0,-1.0,1.000000,0.4863
3,2,1,1,0,-1.0,1.000000,0.7580
4,2,0,0,0,0.0,0.000000,0.7138
5,2,1,1,0,0.0,1.000000,0.6723
6,2,1,1,0,-1.0,1.000000,0.9331
7,2,1,1,0,-1.0,1.000000,1.0000
8,2,1,1,0,-1.0,1.000000,1.0000
