trial,phase,is_a,approach,correct,reward,p_approach,arousal
1,1,1,1,1,0.0,1.000000,0.0000
2,1,0,1,0,-1.0,1.000000,0.3000
3,1,0,1,0,0.0,1.000000,0.2825
4,1,1,1,1,1.0,1.000000,0.5161
5,1,0,1,0,-1.0,1.000000,0.7860
6,1,1,1,1,1.0,1.000000,0.9902
7,1,0,1,0,-1.0,1.000000,1.0000
8,1,0,1,0,-1.0,1.000000,1.0000
9,1,1,1,1,1.0,1.000000,1.0000
10,1,1,1,1,0.0,1.000000,0.9418
11,1,0,0,1,0.0,0.000000,0.8869
12,1,0,0,1,0.0,0.000000,0.8352
13,1,1,1,1,1.0,1.000000,1.0000
14,1,1,1,1,1.0,1.000000,1.0000
15,1,0,0,1,0.0,0.000000,0.9418
16,1,1,1,1,1.0,1.000000,1.0000
17,1,1,1,1,1.0,1.000000,1.0000
18,1,1,1,1,1.0,1.000000,1.0000
19,1,1,1,1,1.0,1.000000,1.0000
20,1,0,1,0,-1.0,1.000000,1.0000
21,1,0,0,1,0.0,0.000000,0.9418
22,1,1,1,1,1.0,1.000000,1.0000
23,1,0,0,1,0.0,0.000000,0.9418
24,1,0,1,0,-1.0,1.000000,1.0000
25,1,1,1,1,0.0,1.000000,0.9418
26,1,0,0,1,0.0,0.000000,0.8869
27,1,1,1,1,1.0,1.000000,1.0000
28,1,0,0,1,0.0,0.000000,0.9418
29,1,0,0,1,0.0,0.000000,0.8869
30,1,0,1,0,-1.0,1.000000,1.0000
31,1,0,0,1,0.0,0.000000,0.9418
32,1,0,0,1,0.0,0.000000,0.8869
33,1,0,0,1,0.0,0.000000,0.8352
34,1,1,1,1,1.0,1.000000,1.0000
35,1,1,1,1,1.0,1.000000,1.0000
36,1,1,1,1,1.0,1.000000,1.0000
37,1,1,1,1,1.0,1.000000,1.0000
38,1,1,1,1,1.0,1.000000,1.0000
39,1,0,1,0,0.0,1.000000,0.9418
40,1,0,0,1,0.0,0.000000,0.8869
41,1,1,1,1,1.0,1.000000,1.0000
42,1,1,1,1,1.0,1.000000,1.0000
43,1,1,1,1,1.0,1.000000,1.0000
44,1,0,1,0,0.0,1.000000,0.9418
45,1,0,1,0,-1.0,1.000000,1.0000
46,1,1,1,1,1.0,1.000000,1.0000
47,1,0,1,0,0.0,1.000000,0.9418
48,1,0,1,0,0.0,1.000000,0.8869
49,1,0,1,0,-1.0,1.000000,1.0000
50,1,0,0,1,0.0,0.000000,0.9418
51,1,0,0,1,0.0,0.000000,0.8869
52,1,1,1,1,0.0,1.000000,0.8352
53,1,0,0,1,0.0,0.000000,0.7866
54,1,1,1,1,0.0,1.000000,0.7408
55,1,0,0,1,0.0,0.000000,0.6976
56,1,0,0,1,0.0,0.000000,0.6570
57,1,0,0,1,0.0,0.000000,0.6187
58,1,1,1,1,1.0,1.000000,0.8327
59,1,1,1,1,1.0,1.000000,1.0000
60,1,0,0,1,0.0,0.000000,0.9418
61,1,1,1,1,1.0,1.000000,1.0000
62,1,0,0,1,0.0,0.000000,0.9418
63,1,1,1,1,1.0,1.000000,1.0000
64,1,0,0,1,0.0,0.000000,0.9418
65,1,1,1,1,0.0,1.000000,0.8869
66,1,0,0,1,0.0,0.000000,0.8352
67,1,1,1,1,0.0,1.000000,0.7866
68,1,1,1,1,1.0,1.000000,0.9908
69,1,0,0,1,0.0,0.000000,0.9331
70,1,1,1,1,1.0,1.000000,1.0000
71,1,0,0,1,0.0,0.000000,0.9418
72,1,0,1,0,-1.0,1.000000,1.0000
73,1,0,1,0,0.0,1.000000,0.9418
74,1,1,1,1,1.0,1.000000,1.0000
75,1,1,1,1,1.0,1.000000,1.0000
76,1,0,0,1,0.0,0.000000,0.9418
77,1,1,1,1,0.0,1.000000,0.8869
78,1,1,1,1,0.0,1.000000,0.8352
79,1,0,1,0,0.0,1.000000,0.7866
80,1,1,1,1,1.0,1.000000,0.9908
81,1,1,1,1,1.0,1.000000,1.0000
82,1,1,1,1,1.0,1.000000,1.0000
83,1,1,1,1,1.0,1.000000,1.0000
84,1,0,0,1,0.0,0.000000,0.9418
85,1,1,1,1,1.0,1.000000,1.0000
86,1,1,1,1,1.0,1.000000,1.0000
87,1,1,1,1,1.0,1.000000,1.0000
88,1,1,1,1,1.0,1.000000,1.0000
89,1,0,1,0,-1.0,1.000000,1.0000
90,1,0,0,1,0.0,0.000000,0.9418
91,1,1,1,1,1.0,1.000000,1.0000
92,1,1,1,1,1.0,1.000000,1.0000
93,1,1,1,1,1.0,1.000000,1.0000
94,1,1,1,1,1.0,1.000000,1.0000
95,1,1,1,1,1.0,1.000000,1.0000
96,1,1,1,1,1.0,1.000000,1.0000
97,1,1,1,1,0.0,1.000000,0.9418
98,1,0,1,0,-1.0,1.000000,1.0000
99,1,1,1,1,1.0,1.000000,1.0000
100,1,0,0,1,0.0,0.000000,0.9418
1,2,0,1,1,1.0,1.000000,0.4478
2,2,1,1,0,-1.0,1.000000,0.7218
3,2,1,1,0,-1.0,1.000000,0.9797
4,2,1,1,0,-1.0,1.000000,1.0000
5,2,0,0,0,0.0,0.000000,0.9418
6,2,1,1,0,-1.0,1.000000,1.0000
7,2,0,0,0,0.0,0.000000,0.9418
8,2,1,1,0,-1.0,1.000000,1.0000
